,type,username,useraddress,userid,timestamp,roomname,content
25,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:57:22,mturkno7226121,I&#39;d say Plan 2 is the best option since it&#39;s what they want or at least closer to that.
26,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:57:37,mturkno7226121,"That&#39;s for one year, though.  There would be those tax costs and waste disposal costs every year for plan 1, so that would make it more expensive."
27,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:57:37,mturkno7226121,"I agree, I think as an average of the city&#39;s needs it&#39;s the best fit"
28,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:57:40,mturkno7226121,"It doesn&#39;t fit the budget persay, but it adheres to their other rules much tighter than plan 1 ever could."
29,text,pog,68.116.121.11:56795,9,2016-06-12 17:57:51,mturkno7226121,60% of plan 1 is renewable. so
30,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:58:04,mturkno7226121,"Yeah, I agree.  I think Plan 2 is the best option that would also fit what they are looking for."
31,text,pog,68.116.121.11:56795,9,2016-06-12 17:58:20,mturkno7226121,your paying 90 million more for 20% more renewable
32,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:59:11,mturkno7226121,We got 8:30 to start writing.
33,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:59:35,mturkno7226121,"And just wondering, did anyone else get an internal error on the last page?"
34,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:59:39,mturkno7226121,Someone&#39;s writing.  Is everyone okay with plan 2 or should we vote on it?
35,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:59:44,mturkno7226121,Yes!  I did get an error
36,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:59:45,mturkno7226121,I got the internal error
37,text,pog,68.116.121.11:56795,9,2016-06-12 17:59:52,mturkno7226121,i got an error as well
38,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:59:53,mturkno7226121,I didn&#39;t get to finish commenting
39,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:59:56,mturkno7226121,I only made it to 4. :(
40,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:00:19,mturkno7226121,Yeah I think I was on the 4th one when I got the error.  Hopefully it&#39;s fine
41,text,pog,68.116.121.11:56795,9,2016-06-12 18:00:55,mturkno7226121,"i prefer plan 1 due to cost of budget and the overall cost per type of resource. But in all honestly, plan 2 is probably just as good."
42,text,pog,68.116.121.11:56795,9,2016-06-12 18:01:35,mturkno7226121,"Also, plan 2 has a high tax credit... which might rise higher in the future."
43,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 18:01:50,mturkno7226121,"Yeah I don&#39;t really mind, i just feel like I have a good amount to say in support of plan 2"
44,text,pog,68.116.121.11:56795,9,2016-06-12 18:02:23,mturkno7226121,btw the tax credit is good. My last comment made it sound bad. ha
45,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:02:28,mturkno7226121,"The high tax credit would be a good thing, especially if it increased over time.  It  would make it cheaper"
46,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:02:31,mturkno7226121,oh lol
47,text,BazaarAgent,128.2.220.133:40489,\N,2016-06-12 18:03:35,mturkno7226121,"Thank you for participating in the discussion. You now have just 5 minutes to finalize a joint argument in favor of one plan and complete your proposal on the left. Keep in mind that you will be evaluated solely based on the quality of your proposal (i.e., the thoroughness of the reasoning displayed)."
48,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 18:03:52,mturkno7226121,"he means business, boys."
49,text,pog,68.116.121.11:56795,9,2016-06-12 18:03:57,mturkno7226121,lol
50,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:04:07,mturkno7226121,Lol!
51,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 18:06:15,mturkno7226121,I&#39;m not sure if I should keep the kittens.
52,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 18:06:28,mturkno7226121,lol
53,text,pog,68.116.121.11:56795,9,2016-06-12 18:06:40,mturkno7226121,no more kittens please.
54,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 18:06:55,mturkno7226121,Fair enough!
55,text,pog,68.116.121.11:56795,9,2016-06-12 18:06:58,mturkno7226121,I have 30 in my house right now O.o
56,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:07:09,mturkno7226121,Wow
57,text,pog,68.116.121.11:56795,9,2016-06-12 18:07:24,mturkno7226121,Cat rescue life. lol.
58,presence,ydarbr728,108.14.54.236:51521,28,2016-06-12 18:07:34,mturkno7226121,leave
59,text,Jenn,66.169.155.224:51496,2,2016-06-12 18:07:35,mturkno7226121,That&#39;s awesome.  I&#39;ve got 4 fosters right now
60,text,pog,68.116.121.11:56795,9,2016-06-12 18:07:46,mturkno7226121,good! 
61,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 18:07:47,mturkno7226121,Jesus.
62,presence,Jenn,66.169.155.224:51496,2,2016-06-12 18:07:53,mturkno7226121,leave
63,presence,pog,68.116.121.11:56795,9,2016-06-12 18:08:00,mturkno7226121,leave
64,presence,OhHiThere,184.7.73.129:50154,11,2016-06-12 18:08:13,mturkno7226121,leave
65,presence,BazaarAgent,128.2.220.133:40489,\N,2016-06-12 18:09:50,mturkno7226121,leave
